ubigeo,neighbor_ubigeo
021014,100501
021015,021007
021015,021011
021015,021014
021015,100501
021015,100506
021015,100509
021016,020302
021016,020304
021016,021002
021016,021010
021101,020202
021101,020507
021101,021102
021101,021103
021101,021104
021101,021105
021101,021708
021101,150202
021102,021101
021102,021105
021102,021703
021102,021708
021103,020104
021103,020109
021103,020202
021103,020801
021103,021101
021104,020202
021104,020205
021104,021101
021104,021105
021105,020201
021105,020205
021105,021101
021105,021102
021105,021104
021105,021703
021201,021203
021201,021205
021201,021206
021201,021207
021201,021208
021201,022001
021201,022008
021202,020905
021202,021204
021202,021208
021202,021209
021202,021210
021202,021804
021203,021201
021203,021205
021203,021206
021204,021202
021204,021205
021204,021208
021204,021209
021204,021802
021205,021201
021205,021203
021205,021204
021205,021206
021205,021208
021205,021802
021206,021201
021206,021203
021206,021205
021206,021207
021206,021802
021206,021805
021206,022005
021207,021201
021207,021206
021207,022001
021207,022002
021207,022004
021207,022005
021208,021201
021208,021202
021208,021204
021208,021205
021208,021210
021208,021601
021208,021602
021208,022008
021209,021202
021209,021204
021209,021802
021209,021804
021210,020904
021210,020905
021210,021202
021210,021208
021210,021601
021210,021909
021301,021302
021301,021304
021301,021307
021301,021308
021301,021602
021302,021301
021302,021304
021302,021601
021302,021602
021303,020702
021303,021304
021303,021305
021303,021308
021303,100402
021304,021301
021304,021302
021304,021303
021304,021308
021304,021601
021304,021604
021304,100402
021304,100701
021304,100703
021305,020702
021305,020703
021305,021303
021305,021308
021306,020701
021306,020703
021306,021307
021306,021308
021306,022008
021307,020703
021307,021301
021307,021306
021307,021308
021307,021602
021307,022008
021308,020703
021308,021301
021308,021303
021308,021304
021308,021305
021308,021306
021308,021307
021308,021602
021401,020505
021401,020510
021401,021403
021401,021405
021401,021406
021401,021407
021401,021408
021401,021409
021401,021410
021402,021404
021402,021405
021402,021408
021402,021410
021402,150305
021402,150802
021403,020505
021403,020506
021403,020512
021403,020514
021403,020515
021403,021401
021403,021407
021404,020512
021404,021402
021404,021408
021404,150302
021404,150304
021404,150305
021405,021401
021405,021402
021405,021409
021405,021410
021405,150201
021405,150203
021405,150204
021405,150802
021406,020507
021406,020510
021406,021401
021406,021409
021407,020512
021407,021401
021407,021403
021407,021408
021408,020512
021408,021401
021408,021402
021408,021404
021408,021407
021408,021410
021409,020507
021409,021401
021409,021405
021409,021406
021409,150202
021409,150203
021410,021401
021410,021402
021410,021405
021410,021408
021501,020901
021501,020902
021501,020904
021501,021502
021501,021503
021501,021505
021501,021511
021502,021501
021502,021505
021502,021508
021502,021511
021502,131001
021502,131007
021503,020904
021503,021501
021503,021505
021503,021506
021503,021509
021503,021902
021503,021905
021503,021908
021503,130803
021504,021505
021504,021508
021505,021501
021505,021502
021505,021503
021505,021504
021505,021506
021505,021508
021506,021503
021506,021505
021506,021508
021506,021509
021506,131005
021507,020901
021507,020903
021507,021510
021507,021511
021508,021502
021508,021504
021508,021505
021508,021506
021508,021509
021508,131002
021508,131005
021508,131007
021509,021503
021509,021506
021509,021508
021509,130803
021509,130806
021509,131005
021509,131008
021510,020903
021510,021507
021510,021511
021510,021801
021510,021804
021510,131001
021510,131202
021511,020901
021511,021501
021511,021502
021511,021507
021511,021510
021511,131001
021601,021208
021601,021210
021601,021302
021601,021304
021601,021602
021601,021603
021601,021604
021601,021909
021601,021910
021602,021208
021602,021301
021602,021302
021602,021307
021602,021308
021602,021601
021602,022008
021603,021601
021603,021604
021603,021903
021603,021906
021603,021910
021603,100701
021603,130804
021604,021304
021604,021601
021604,021603
021604,100701
021701,020101
021701,020108
021701,020201
021701,021710
021702,020201
021702,020501
021702,020504
021702,020505
021702,021004
021702,021703
021702,021704
021702,021706
021702,021707
021702,021709
021702,021710
021703,020201
021703,021102
021703,021105
021703,021702
021703,021708
021703,021709
021704,020503
021704,021702
021704,021705
021704,021706
021704,021709
021705,020503
021705,020507
021705,021704
021705,021708
021705,021709
021706,020503
021706,020505
021706,021702
021706,021704
021706,021707
021707,020505
021707,021702
021707,021706
021708,020503
